ID,Style,Artwork,Artist,Date,Link
78464,Abstract-Expressionism,Untitled,Nicolas Carone,1958,https://uploads7.wikiart.org/images/nicolas-carone/untitled-1958.jpg
78465,Abstract-Expressionism,Embroidered Halo,Adja Yunkers,1958,https://uploads4.wikiart.org/images/adja-yunkers/embroidered-halo-1958.jpg
78466,Abstract-Expressionism,Iberia No. 2,Robert Motherwell,1958,https://uploads4.wikiart.org/images/robert-motherwell/iberia-no-2-1958.jpg
78467,Abstract-Expressionism,Allan Kaprow on the Legacy of Jackson Pollock,Allan Kaprow,1958,https://uploads2.wikiart.org/00205/images/allan-kaprow/allan-kaprow-on-the-legacy-of-jackson-pollock-1958.jpg
78468,Abstract-Expressionism,"No. 13 (White, Red on Yellow)",Mark Rothko,1958,https://uploads4.wikiart.org/00230/images/mark-rothko/no-13.jpg
78469,Abstract-Expressionism,Zonder Titel,Anton Heyboer,1958,https://uploads1.wikiart.org/00266/images/anton-heyboer/untitled-1958-2.jpg
78470,Abstract-Expressionism,Zonder Titel,Anton Heyboer,1958,https://uploads1.wikiart.org/00266/images/anton-heyboer/untitled-1958-4.jpg
78471,Abstract-Expressionism,Paseo vespertino,Alice Rahon,1958,https://uploads4.wikiart.org/00288/images/alice-rahon/screen-shot-2020-05-12-at-4-29-18-pm.png!PinterestSmall.png
78472,Abstract-Expressionism,Kaleidoscopio del bosque,Alice Rahon,1958,https://uploads4.wikiart.org/00288/images/alice-rahon/screen-shot-2020-05-12-at-4-29-01-pm.png!PinterestSmall.png
78473,Abstract-Expressionism,Next Morning,Alice Rahon,1958,https://uploads4.wikiart.org/00288/images/alice-rahon/alicerahon-feature.jpg
78474,Abstract-Expressionism,House of Venus IV,Rosemarie Beck,1958,https://uploads2.wikiart.org/00302/images/rosemarie-beck/169.jpg
78475,Abstract-Expressionism,Abstract 2,René Marcil,1958,https://uploads1.wikiart.org/00313/images/rene-marcil/capture-d-e-cran-2020-11-03-a-7-03-26-pm.png!PinterestSmall.png
78476,Abstract-Expressionism,Charlie Parker Yardbird,Beauford Delaney,1958,https://uploads3.wikiart.org/00315/images/beauford-delaney/charlie-parker-yardbird-1958.jpg
78477,Abstract-Expressionism,Untitled,Beauford Delaney,1958,https://uploads7.wikiart.org/00315/images/beauford-delaney/untitled-c1958.jpg
78478,Abstract-Expressionism,Basque Beach,Helen Frankenthaler,1958,https://uploads7.wikiart.org/images/helen-frankenthaler/basque-beach-1958.jpg
78479,Abstract-Expressionism,Untitled,Cy Twombly,1959,https://uploads0.wikiart.org/images/cy-twombly/untitled-9.jpg
78480,Abstract-Expressionism,It Was Yellow and Pink II,Georgia O'Keeffe,1959,https://uploads3.wikiart.org/images/georgia-o-keeffe/it-was-yellow-and-pink-ii.jpg
78481,Abstract-Expressionism,Merritt Parkway,Willem de Kooning,1959,https://uploads8.wikiart.org/images/willem-de-kooning/merritt-parkway-1959.jpg
